,,,,3,1,1,6,2,,,,,
,,,,,,,,,,,,,
Project Name,Score,Project Name,Date of Issuance to CC,Contract Status,Project Status,Host Country Approval,Approval Status,Methodology,Contract Status,Project Status,DNA Approval,Approval,Methodology
Aalok Solarfarms Limited,10.0%,Aalok Solarfarms Limited,Apr-22,LOC,Design Stage,No,Under Registration,Solar Power,50%,10%,50%,75%,100%
Abha Solarfarms Limited,76.9%,Abha Solarfarms Limited,Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"Bhumi Prakash Pvt Ltd, Devadurga",76.9%,"Bhumi Prakash Pvt Ltd, Devadurga",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
Heramba Renewables Limited (1&2 both),76.9%,Heramba Renewables Limited (1&2 both),Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"Prathamesh Solarfarms Ltd, Wanaparthy",76.9%,"Prathamesh Solarfarms Ltd, Wanaparthy",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Agni Power Pvt Ltd, Siriguppa",76.9%,"ReNew Agni Power Pvt Ltd, Siriguppa",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Clean Energy Pvt Ltd, Ashok Nagar",76.9%,"ReNew Clean Energy Pvt Ltd, Ashok Nagar",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Mega Solar Pvt Ltd, Mandamarri",76.9%,"ReNew Mega Solar Pvt Ltd, Mandamarri",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Saur Shakti Pvt Ltd, Minpur",76.9%,"ReNew Saur Shakti Pvt Ltd, Minpur",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Saur Shakti Pvt Ltd, Mulkanoor",76.9%,"ReNew Saur Shakti Pvt Ltd, Mulkanoor",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Solar Energy (KA 2) Pvt Ltd, Charanka",76.9%,"ReNew Solar Energy (KA 2) Pvt Ltd, Charanka",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Solar Energy (TS) Pvt Ltd, Dichipalli",76.9%,"ReNew Solar Energy (TS) Pvt Ltd, Dichipalli",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (MH) Pvt Ltd, Yadgir",76.9%,"ReNew Wind Energy (MH) Pvt Ltd, Yadgir",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (MP 3) Pvt Ltd, Honnali",76.9%,"ReNew Wind Energy (MP 3) Pvt Ltd, Honnali",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (MP 4) Pvt Ltd, Chincholi",76.9%,"ReNew Wind Energy (MP 4) Pvt Ltd, Chincholi",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (RJ 4) Pvt Ltd, Turuvekere",76.9%,"ReNew Wind Energy (RJ 4) Pvt Ltd, Turuvekere",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (TN 2) Pvt Ltd, Pavagada",76.9%,"ReNew Wind Energy (TN 2) Pvt Ltd, Pavagada",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (TN 2) Pvt Ltd, Mahboob Nagar 2",76.9%,"ReNew Wind Energy (TN 2) Pvt Ltd, Mahboob Nagar 2",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
Shreyas Solarfarms Limited (1&2 both),76.9%,Shreyas Solarfarms Limited (1&2 both),Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"Tarun Kiran Bhoomi Pvt Ltd, Alland",76.9%,"Tarun Kiran Bhoomi Pvt Ltd, Alland",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Saur Urja Pvt Ltd, Raichur - MASKI",76.9%,"ReNew Saur Urja Pvt Ltd, Raichur - MASKI",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (Budh 3) Pvt Ltd, Eklara",76.9%,"ReNew Wind Energy (Budh 3) Pvt Ltd, Eklara",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (Budh 3) Pvt Ltd, Nirna",76.9%,"ReNew Wind Energy (Budh 3) Pvt Ltd, Nirna",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (Budh 3) Pvt Ltd, Wadgera",76.9%,"ReNew Wind Energy (Budh 3) Pvt Ltd, Wadgera",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (KA 3) Pvt Ltd, Bhalki",76.9%,"ReNew Wind Energy (KA 3) Pvt Ltd, Bhalki",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%
"ReNew Wind Energy (KA 4) Pvt Ltd, Humnabad",76.9%,"ReNew Wind Energy (KA 4) Pvt Ltd, Humnabad",Apr-22,LOC,Constructed,Yes,Under Registration,Solar Power,50%,100%,100%,75%,100%